"agency_id","route_id","route_short_name","route_long_name","route_type","route_desc","route_color","route_text_color"
"9020","358","","Zvolen osob.st.-Levice","2","","FF671F","FFFFFF"
"9020","359","","Levice-Zvolen osob.st.","2","","FF671F","FFFFFF"
"9020","360","","Nová Baňa-Levice","2","","FF671F","FFFFFF"
"9020","361","","Levice-Nová Baňa","2","","FF671F","FFFFFF"
"9020","362","","Zvolen osob.st.-Nová Baňa","2","","FF671F","FFFFFF"
"9020","364","","Košice-Banská Bystrica","2","","FF671F","FFFFFF"
"9020","365","","Prešov-Banská Bystrica","2","","FF671F","FFFFFF"
"9020","366","","Košice-Liptovský Mikuláš","2","","FF671F","FFFFFF"
"9020","367","","Banská Bystrica-Košice","2","","FF671F","FFFFFF"
"9020","368","","Banská Bystrica-Prešov","2","","FF671F","FFFFFF"
"9020","369","","Bratislava-N.Mesto-Nové Zámky","2","","FF671F","FFFFFF"
"9020","370","","Bánovce n.Ondavou-Poprad-Tatry","2","","FF671F","FFFFFF"
"9020","394","","Bratislava hl.st.-Chop","2","","FF671F","FFFFFF"
"9020","395","","Chop-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","404","","Sudoměřice n.Moravou-Myjava","2","","FF671F","FFFFFF"
"9020","405","","Veselí n.Moravou-Myjava","2","","FF671F","FFFFFF"
"9020","408","","Myjava-Veselí n.Moravou","2","","FF671F","FFFFFF"
"9020","409","","Myjava-Strážnice","2","","FF671F","FFFFFF"
"9020","410","","Rohatec-Myjava","2","","FF671F","FFFFFF"
"9020","411","","Strážnice-Myjava","2","","FF671F","FFFFFF"
"9020","445","","Budapest-Nyugati pu-Berlin Hbf","2","","FF671F","FFFFFF"
"9020","446","","Berlin Hbf-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","449","","Vrútky-Zwardon(PL)","2","","FF671F","FFFFFF"
"9020","450","","Liptovský Mikuláš-Zwardon(PL)","2","","FF671F","FFFFFF"
"9020","452","","Budapest-Nyugati pu-Berlin Hbf (tief)","2","","FF671F","FFFFFF"
"9020","458","","Zwardon(PL)-Liptovský Hrádok","2","","FF671F","FFFFFF"
"9020","459","","Zwardon(PL)-Liptovský Mikuláš","2","","FF671F","FFFFFF"
"9020","460","","Zwardon(PL)-Vrútky","2","","FF671F","FFFFFF"
"9020","461","","Zwardon(PL)-Čadca","2","","FF671F","FFFFFF"
"9020","463","","Nitra-Prievidza","2","","FF671F","FFFFFF"
"9020","464","","Topoľčany-Nové Zámky","2","","FF671F","FFFFFF"
"9020","465","","Nové Zámky-Topoľčany","2","","FF671F","FFFFFF"
"9020","466","","Nové Zámky-Bratislava-N.Mesto","2","","FF671F","FFFFFF"
"9020","467","","Nové Zámky-Trnava","2","","FF671F","FFFFFF"
"9020","468","","Budapest-Nyugati pu-Przemysl Gl.","2","","FF671F","FFFFFF"
"9020","471","","Brezno-Jesenské","2","","FF671F","FFFFFF"
"9020","476","","Poprad-Tatry-Bánovce n.Ondavou","2","","FF671F","FFFFFF"
