"service_id","date","exception_type"
"64810","20230215","1"
"64810","20230216","1"
"64810","20230217","1"
"64810","20230218","2"
"64810","20230219","1"
"64810","20230220","1"
"64810","20230221","1"
"64810","20230222","1"
"64810","20230223","1"
"64810","20230224","1"
"64810","20230225","2"
"64810","20230226","1"
"64810","20230227","1"
"64810","20230228","1"
"64810","20230301","1"
"64810","20230302","1"
"64810","20230303","1"
"64810","20230304","2"
"64810","20230305","1"
"64810","20230306","1"
"64810","20230307","1"
"64810","20230308","1"
"64810","20230309","1"
"64810","20230310","1"
"64810","20230311","2"
"64810","20230312","1"
"64810","20230313","1"
"64810","20230314","1"
"64810","20230315","1"
"64810","20230316","1"
"64810","20230317","1"
"64810","20230318","2"
"64810","20230319","1"
"64810","20230320","1"
"64810","20230321","1"
"64810","20230322","1"
"64810","20230323","1"
"64810","20230324","1"
"64810","20230325","2"
"64810","20230326","1"
"64810","20230327","1"
"64810","20230328","1"
"64810","20230329","1"
"64810","20230330","1"
"64810","20230331","1"
"64810","20230401","2"
"64810","20230402","1"
"64810","20230403","1"
"64810","20230404","1"
"64810","20230405","1"
"64810","20230406","1"
"64810","20230407","2"
"64810","20230408","2"
"64810","20230409","2"
"64810","20230410","1"
"64810","20230411","1"
"64810","20230412","1"
"64810","20230413","1"
"64810","20230414","1"
"64810","20230415","2"
"64810","20230416","1"
"64810","20230417","1"
"64810","20230418","1"
"64810","20230419","1"
"64810","20230420","1"
"64810","20230421","1"
"64810","20230422","2"
"64810","20230423","1"
"64810","20230424","1"
"64810","20230425","1"
"64810","20230426","1"
"64810","20230427","1"
"64810","20230428","1"
"64810","20230429","2"
"64810","20230430","2"
"64810","20230501","1"
"64810","20230502","1"
"64810","20230503","1"
"64810","20230504","1"
"64810","20230505","1"
"64810","20230506","2"
"64810","20230507","2"
"64810","20230508","1"
"64810","20230509","1"
"64810","20230510","1"
"64810","20230511","1"
"64810","20230512","1"
"64810","20230513","2"
"64810","20230514","1"
"64810","20230515","1"
"64810","20230516","1"
"64810","20230517","1"
"64810","20230518","1"
"64810","20230519","1"
"64810","20230520","2"
"64810","20230521","1"
"64810","20230522","1"
"64810","20230523","1"
"64810","20230524","1"
"64810","20230525","1"
"64810","20230526","1"
"64810","20230527","2"
"64810","20230528","1"
"64810","20230529","1"
"64810","20230530","1"
"64810","20230531","1"
"64810","20230601","1"
"64810","20230602","1"
"64810","20230603","2"
"64810","20230604","1"
"64810","20230605","1"
"64810","20230606","1"
"64810","20230607","1"
"64810","20230608","1"
