"stop_id","stop_name","stop_lat","stop_lon","stop_code","location_type","parent_station","wheelchair_boarding"
"181255","Čadca mesto","49.43661","18.79409","","","",""
"181354","Čadca zast.","49.43903","18.77939","","","",""
"144469","Čachtice","48.72171","17.79858","","","",""
"153965","Čakajovce","48.37261","18.03628","","","",""
"137737","Čamovce","48.25059","19.88934","","","",""
"153304","Čaňa","48.6096960","21.3098380","","","",""
"163261","Čata","47.95615","18.64885","","","",""
"152009","Čečejovce","48.58659","21.06864","","","",""
"186403","Čeľovce","48.61269","21.62982","","","",""
"150532","Čerenčany","48.412053","19.98986","","","",""
"137802","Čerhov","48.46077","21.64458","","","",""
"145433","Červená Skala","48.82316","20.13164","","","",""
"164202","Červenica","49.132786","21.024458","","","",""
"900010","Červenka","49.723895","17.091157","","","",""
"539130","Česká Třebová","49.897544927129076","16.446737804079348","","","",""
"149138","České Brezovo","48.47719","19.80084","","","",""
"332346","Český Těšín (Czeski Cieszyn)","49.743755","18.623254","","","",""
"138602","Čierna n.Tisou","48.41942","22.08785","","","",""
"138909","Čierna n.Tisou z.","48.41648","22.07065","","","",""
"159004","Čierne n.Topľou","48.98993","21.56977","","","",""
"181453","Čierne pri Čadci","49.4949","18.81932","","","",""
"183152","Čierne pri Čadci z.","49.5097","18.84574","","","",""
"184150","Čierne-Polesie","49.51173","18.86045","","","",""
"138636","Číž kúpele","48.30504","20.27799","","","",""
"900006","Dabrowa Gornicza","50.330094","19.186396","","","",""
"140707","Danielov Dom","49.11691","20.16532","","","",""
"5100228","Debica","50.054600485987216","21.405706566112865","","","",""
"556597","Děčín hl.n.","50.773426","14.200644","","","",""
"145805","Dedinky","48.85563","20.38205","","","",""
"158501","Demjata obec","49.10775","21.31271","","","",""
"332742","Dětmarovice","49.900022","18.466005","","","",""
"135335","Detva","48.53361","19.40637","","","",""
"32821","Deutschkreutz","47.604036","16.620194","","","",""
"131367","Devínska N.Ves","48.21902","16.97701","","","",""
"131466","Devínske Jazero","48.2505","16.96065","","","",""
"130534","Diviaky","48.87611","18.85094","","","",""
"175950","Dlhá n.Oravou","49.26471","19.44667","","","",""
"161109","Dlhé n.Cirochou","48.95495","22.05457","","","",""
"161208","Dlhé n.Cirochou obec","48.95866","22.06651","","","",""
"138701","Dobrá","48.40728","22.02491","","","",""
"147736","Dobrá Niva","48.4807980","19.1016500","","","",""
"147835","Dobrá Niva zast.","48.4783146","19.1011196","","","",""
"145508","Dobšinská Ľadová Jas.","48.875922","20.29644","","","",""
"175554","Dohňany","49.14565","18.28708","","","",""
"162768","Dolná Seč","48.17307","18.56911","","","",""
"140731","Dolné Hámre","48.47493","18.71902","","","",""
"170654","Dolné Kočkovce","49.087192","18.325281","","","",""
"152967","Dolné Krškany","48.27106","18.09338","","","",""
"151761","Dolné Naštice","48.68962","18.24982","","","",""
"900093","Dolní Lutyně","49.912351","18.414709","","","",""
"174052","Dolný Hričov","49.24094","18.64331","","","",""
"174250","Dolný Kubín","49.21679","19.29653","","","",""
"174359","Dolný Kubín zast.","49.21178","19.27907","","","",""
"141309","Dolný Smokovec","49.13204","20.23969","","","",""
"146936","Domaníky","48.263551","18.992102","","","",""
"900056","Drassburg","47.747817","16.494702","","","",""
"900019","Dresden Hbf","51.040651","13.731441","","","",""
"900020","Dresden-Neustadt","51.065532","13.741029","","","",""
"157107","Drienovská Nová Ves","48.91196","21.24507","","","",""
"169607","Drienovská Nová Ves obec","48.90082","21.24565","","","",""
"170159","Dubnica n.Váhom","48.96609","18.16811","","","",""
"142539","Dubová","48.81358","19.43932","","","",""
"146530","Dudince","48.16719","18.88856","","","",""
"182253","Dunajov","49.35986","18.81833","","","",""
"165209","Ďurková","49.24517","20.87617","","","",""
"146738","Dvorníky","48.19922","18.92396","","","",""
"134460","Dvory n.Žitavou","47.96868","18.24961","","","",""
"161968","Dyčka","48.23486","18.28718","","","",""
"900059","Ebenfurth","47.877616","16.362520","","","",""
"90057","Ebreichsdorf","47.960702","16.408694","","","",""
"12369","Feldkirch","47.241040","9.603783","","","",""
"136937","Fiľakovo","48.26619","19.83217","","","",""
"137034","Fiľakovo zast.","48.27355","19.82759","","","",""
"143404","Forbasy","49.29592","20.62093","","","",""
"900028","Forro-Encs","48.327678","21.117789","","","",""
"158204","Fulianka","49.06746","21.33398","","","",""
"133264","Galanta","48.18539","17.72288","","","",""
"150169","Gáň","48.23368","17.72293","","","",""
"132704","Gánovce","49.02357","20.3151","","","",""
"143834","Gašparovo","48.82698","19.74559","","","",""
"30049","Gattendorf","48.010798","16.981219","","","",""
"134866","Gbelce","47.8498","18.50708","","","",""
"143065","Gbely","48.72342","17.09133","","","",""
"143164","Gbely zast.","48.71039","17.08248","","","",""
"149500","Gelnica","48.85855","20.94693","","","",""
"149609","Gelnica mesto","48.85071","20.93499","","","",""
"8100026","Gloggnitz","47.67753247130937","15.946010005260073","","","",""
"138131","Gortva","48.30086","20.02687","","","",""
"900037","Götzendorf/Leitha","48.025884","16.587444","","","",""
"29686","Gramatneusiedl","48.034909","16.491303","","","",""
"152330","Hačava","48.62627","19.95337","","","",""
"152439","Hačava skálie","48.61641","19.95955","","","",""
"137539","Hajnáčka","48.23491","19.93218","","","",""
"5500610","Halmaj","48.24649057989524","20.991762597628377","","","",""
"13193","Hamburg Hbf","53.552552","10.006237","","","",""
"10942","Hamburg-Altona","53.551842","9.935130","","","",""
"900026","Hamburg-Bergedorf","53.489940","10.205933","","","",""
"173153","Handlová","48.72547","18.75478","","","",""
